phone_number,email,credit_score,age_group,family_background,income,education_level,employment_type,website_engagement_score,last_contact_date,intent_score,intent_binary
+1-492-729-3466x297,angela54@example.com,720,26-35,Single,82649,Master's,Full-time,68,2025-05-22,86,1
001-757-226-3485,mooregabriella@example.org,764,46-55,Married,143015,Bachelor's,Self-employed,38,2025-05-03,100,1
+1-472-796-7828x6619,adamsrobert@example.org,696,56+,Married,15000,Bachelor's,Part-time,37,2025-04-26,80,1
534-410-2301x3011,pmeza@example.net,661,26-35,Married with Kids,83545,Master's,Self-employed,81,2025-04-20,100,1
(784)596-6686x73481,whitepaula@example.org,542,56+,Single,29297,High School,Retired,23,2025-05-01,0,0
636-605-6904x364,qmullins@example.com,770,36-45,Single,63727,Bachelor's,Full-time,44,2025-02-07,100,1
710-567-0990,perezrobert@example.net,739,36-45,Married with Kids,31840,High School,Full-time,68,2025-01-30,100,1
418-471-0404x46463,benjamin14@example.net,657,26-35,Married,25627,Master's,Part-time,46,2025-03-01,80,1
+1-397-890-5735x8054,danielguzman@example.org,692,36-45,Married with Kids,42993,Bachelor's,Full-time,79,2025-06-26,100,1
250.706.9215x390,zimmermantami@example.com,757,36-45,Single,88734,Master's,Full-time,68,2025-05-22,100,1
581-979-8903x3039,kimberly81@example.org,678,46-55,Married,73866,Master's,Full-time,60,2025-05-20,84,1
001-912-317-0994x495,clarkdaniel@example.org,524,18-25,Married with Kids,31136,Bachelor's,Full-time,34,2025-06-17,37,0
8613691853,perryanthony@example.com,712,46-55,Married with Kids,30745,Master's,Part-time,44,2025-06-19,85,1
(570)425-8912x7177,uryan@example.net,637,46-55,Married with Kids,37089,Bachelor's,Retired,42,2025-07-04,65,1
+1-878-510-5289x4168,lutzsusan@example.com,657,46-55,Single,17876,PhD,Part-time,15,2025-03-21,62,1
+1-856-876-7879x05411,millermichael@example.com,670,18-25,Married,25085,High School,Self-employed,71,2025-01-17,72,1
+1-852-842-6996x9697,williamstanner@example.org,593,18-25,Married,51792,Bachelor's,Full-time,32,2025-04-14,46,0
660-241-3796,robin70@example.org,633,18-25,Married,15000,High School,Unemployed,46,2025-04-23,41,0
510-231-1155x7701,nromero@example.org,594,26-35,Married with Kids,38798,Master's,Full-time,47,2025-04-14,84,1
001-445-560-9432x01302,debranelson@example.org,500,18-25,Married,28511,Master's,Full-time,43,2025-03-22,59,0
333-484-4727,larsonrenee@example.net,640,18-25,Single,15000,High School,Full-time,17,2025-06-11,50,0
+1-973-851-5496x0660,fadams@example.org,657,56+,Widowed,46652,Master's,Retired,47,2025-03-04,29,0
968-234-8549x7515,edwardswilliam@example.org,714,26-35,Single,88604,Professional,Full-time,54,2025-03-31,72,1
001-973-460-6301,currychristina@example.net,549,18-25,Divorced,15000,Professional,Part-time,10,2025-02-14,20,0
+1-533-628-5968,darren61@example.net,641,36-45,Married with Kids,27784,High School,Full-time,57,2025-01-24,100,1
(551)851-3822x2629,william34@example.net,666,36-45,Married with Kids,53701,Bachelor's,Full-time,59,2025-06-20,100,1
+1-860-952-0488x252,mclaughlinlaurie@example.net,727,56+,Married,54937,Bachelor's,Full-time,77,2025-03-22,75,1
(486)394-0948x718,xferguson@example.com,634,26-35,Married,37962,Bachelor's,Full-time,72,2025-06-23,78,1
(515)845-8061x87001,casey20@example.org,756,36-45,Widowed,70506,Bachelor's,Full-time,88,2025-03-30,100,1
(776)891-3647x259,gregory12@example.org,701,36-45,Married with Kids,45314,Master's,Retired,57,2025-04-16,90,1
+1-685-435-4143x019,dstephenson@example.org,712,36-45,Single,69008,Bachelor's,Full-time,61,2025-03-26,91,1
(251)253-1043,luke10@example.org,690,26-35,Married with Kids,49029,Bachelor's,Full-time,64,2025-02-13,88,1
+1-504-775-4769x171,carlos84@example.com,604,18-25,Single,51426,PhD,Full-time,5,2025-06-11,31,0
001-417-928-4712x719,kristinamiller@example.net,679,26-35,Married with Kids,60524,Bachelor's,Full-time,79,2025-05-20,100,1
+1-933-833-0655,allenmatthew@example.net,632,26-35,Single,46321,Master's,Full-time,50,2025-02-07,81,1
001-422-279-6177x001,kimberly51@example.com,595,26-35,Married with Kids,69296,Master's,Full-time,51,2025-02-15,80,1
001-348-889-8331,michaeljohnson@example.org,679,36-45,Married with Kids,42563,High School,Full-time,50,2025-05-15,100,1
+1-264-706-0564x3290,prattchad@example.com,639,36-45,Married,67830,Bachelor's,Full-time,57,2025-05-17,92,1
250.763.6229x8225,williamflores@example.org,648,26-35,Divorced,24430,Bachelor's,Part-time,81,2025-01-30,79,1
658.348.4209,kenneth62@example.org,715,46-55,Single,103236,Professional,Full-time,20,2025-03-03,72,1
(345)579-7273,margaretmiller@example.net,699,36-45,Married with Kids,58912,Bachelor's,Full-time,57,2025-04-15,100,1
229.538.0743x85729,virginiahopkins@example.com,680,46-55,Married with Kids,68896,PhD,Full-time,27,2025-06-20,97,1
355-267-3376,yfrey@example.com,634,26-35,Married,62917,Bachelor's,Full-time,79,2025-04-08,88,1
001-987-265-9732x4605,andre21@example.org,696,46-55,Married,78263,Master's,Full-time,70,2025-05-01,100,1
705-783-6825x17024,nicholasgibson@example.com,658,36-45,Married,29367,High School,Full-time,87,2025-04-02,99,1
+1-234-443-2228x37213,iclark@example.org,652,26-35,Divorced,23850,Bachelor's,Part-time,55,2025-03-09,79,1
+1-640-600-4534,lli@example.org,739,26-35,Single,74578,PhD,Full-time,26,2025-04-13,57,0
001-992-981-7272x4334,feliciabaker@example.net,656,56+,Divorced,76155,PhD,Full-time,41,2025-06-05,59,0
643-676-2825x599,julieyu@example.com,641,26-35,Divorced,76442,Professional,Full-time,75,2025-04-27,100,1
(959)387-6941x300,hendersonjeffrey@example.net,673,36-45,Single,69632,Bachelor's,Full-time,47,2025-05-10,82,1
(893)718-2446x4956,awolfe@example.org,702,46-55,Single,69345,PhD,Part-time,8,2025-05-13,52,0
562.645.1309x6127,makayla94@example.net,613,26-35,Married with Kids,37486,PhD,Full-time,56,2025-03-08,80,1
001-984-742-6549x53705,christine15@example.net,665,56+,Widowed,37107,Bachelor's,Retired,38,2025-04-07,31,0
791-950-2229x518,erobertson@example.com,715,26-35,Single,37045,Professional,Full-time,52,2025-05-20,67,1
(308)791-4908x769,wramirez@example.org,649,26-35,Married,24154,Master's,Part-time,45,2025-01-24,51,0
001-686-290-8026x7822,kylewaters@example.com,733,36-45,Single,79510,Bachelor's,Self-employed,35,2025-03-03,100,1
+1-378-747-5228x155,olopez@example.com,743,36-45,Married with Kids,99623,Master's,Full-time,79,2025-05-04,100,1
572.299.5204,sullivankeith@example.com,601,46-55,Single,68428,High School,Full-time,36,2025-06-17,73,1
001-775-999-7298x4685,xestes@example.org,684,56+,Single,17061,High School,Full-time,18,2025-05-12,54,0
375-699-7539x29188,coopervincent@example.com,657,18-25,Married,38915,Bachelor's,Self-employed,31,2025-03-29,64,1
(529)218-9358x058,icruz@example.org,750,46-55,Single,115277,Bachelor's,Full-time,44,2025-05-16,93,1
4543260244,webbjeremy@example.net,648,56+,Married with Kids,84451,Bachelor's,Full-time,80,2025-03-05,100,1
(327)543-6848x5070,don23@example.com,627,18-25,Married with Kids,37412,High School,Full-time,45,2025-05-24,63,1
001-204-440-5710x6208,wilsoncurtis@example.org,726,36-45,Single,62891,Master's,Full-time,64,2025-03-01,93,1
(258)486-0496,lawrencehowell@example.net,758,46-55,Married with Kids,27503,High School,Full-time,41,2025-01-19,100,1
998-485-5261,tracyanderson@example.com,722,36-45,Married,79456,Master's,Full-time,76,2025-07-02,100,1
(659)227-9760,shannonpatel@example.net,702,46-55,Single,64245,Master's,Full-time,21,2025-06-25,75,1
001-501-700-8495x25400,wisejessica@example.net,614,26-35,Single,15000,High School,Part-time,49,2025-05-09,34,0
+1-934-457-6494x789,qlyons@example.net,703,36-45,Married,53211,Bachelor's,Full-time,54,2025-04-28,100,1
516-416-4666,qjordan@example.net,646,26-35,Married with Kids,46256,Master's,Full-time,86,2025-05-26,95,1
782.397.8768x24584,ljordan@example.com,670,26-35,Married with Kids,50922,Bachelor's,Full-time,48,2025-02-23,99,1
854.584.5240x541,davidbaker@example.org,753,36-45,Married with Kids,139444,Professional,Full-time,67,2025-05-14,100,1
001-647-223-8032x70554,toddphillips@example.org,685,26-35,Married with Kids,15000,PhD,Unemployed,78,2025-06-26,87,1
001-624-432-0589x20790,rfitzpatrick@example.com,713,36-45,Married,141335,PhD,Self-employed,67,2025-01-31,100,1
001-736-276-3485x2852,heatherdavis@example.org,628,36-45,Married,31836,Bachelor's,Retired,88,2025-01-18,70,1
827.796.8559,chrismiller@example.com,620,26-35,Widowed,68966,Master's,Self-employed,49,2025-06-20,63,1
+1-500-228-1059,briancollins@example.net,653,56+,Married,18497,Bachelor's,Part-time,49,2025-02-05,44,0
202.314.9290x7834,murrayelizabeth@example.com,619,26-35,Married,40932,Professional,Full-time,90,2025-05-15,90,1
(810)298-5930,james29@example.org,703,46-55,Married,108119,PhD,Self-employed,35,2025-02-26,94,1
694.411.8727,jerrymiller@example.com,682,56+,Single,64283,Master's,Full-time,16,2025-04-01,63,1
736-731-1596,rebecca17@example.net,742,46-55,Single,85685,Bachelor's,Full-time,37,2025-01-24,90,1
+1-885-457-6341,jeffrey64@example.org,705,36-45,Single,18086,Professional,Student,19,2025-05-10,40,0
001-437-839-3045x741,oconnorjanet@example.com,575,18-25,Married with Kids,37329,Bachelor's,Full-time,48,2025-04-10,73,1
001-205-442-5317,fford@example.org,678,56+,Single,55399,Master's,Full-time,41,2025-01-31,62,1
+1-278-587-2878x2650,newtonsarah@example.com,630,46-55,Married with Kids,37058,High School,Retired,39,2025-06-19,69,1
536.762.5396x71832,adamjones@example.com,636,46-55,Single,18462,High School,Part-time,22,2025-04-26,26,0
(223)793-1591,stephenstina@example.org,665,18-25,Married with Kids,18276,High School,Self-employed,41,2025-05-11,85,1
001-372-928-1089,beasleycarol@example.com,626,26-35,Single,29627,Bachelor's,Retired,50,2025-01-22,58,0
2385891132,zjohnson@example.org,688,26-35,Married,74841,Master's,Full-time,58,2025-02-17,84,1
949.561.2690x7280,mary69@example.com,622,56+,Single,33026,Bachelor's,Full-time,4,2025-05-03,42,0
+1-691-602-3193x7980,fsmith@example.net,621,18-25,Divorced,26419,Bachelor's,Full-time,35,2025-06-23,43,0
+1-249-623-5920x273,cmoreno@example.com,647,26-35,Divorced,51075,Master's,Full-time,28,2025-03-13,76,1
8149430111,mccormicknicole@example.org,641,26-35,Single,43765,Master's,Full-time,19,2025-05-17,62,1
5758353542,elizabeth75@example.com,649,18-25,Married,24291,Bachelor's,Full-time,52,2025-04-19,70,1
+1-712-882-6424x914,hunterkelly@example.com,653,56+,Married,44358,High School,Self-employed,76,2025-03-13,81,1
+1-254-373-9893,lwilson@example.com,637,56+,Married,45006,Master's,Full-time,42,2025-06-30,44,0
(242)962-8115,fisherashley@example.org,673,36-45,Married with Kids,69963,Bachelor's,Full-time,44,2025-07-05,100,1
(517)211-4675,shahkimberly@example.org,641,26-35,Single,21446,High School,Full-time,63,2025-03-14,73,1
301.443.0276x799,kayla40@example.com,736,36-45,Single,51733,High School,Full-time,35,2025-07-06,84,1
(783)624-2009,williamswilliam@example.com,604,26-35,Married with Kids,20143,Bachelor's,Retired,83,2025-02-05,74,1
+1-379-567-6426x333,michaelbryan@example.org,637,56+,Married with Kids,49541,Bachelor's,Full-time,37,2025-06-21,62,1
+1-974-414-0551x6297,sullivanemily@example.com,724,36-45,Married,67474,High School,Full-time,75,2025-04-29,99,1
296-917-4648x782,jessica20@example.com,631,18-25,Single,28506,High School,Full-time,32,2025-03-15,22,0
5462483715,tommylee@example.org,677,46-55,Married,18256,High School,Part-time,33,2025-04-11,64,1
981-467-4312x182,anne67@example.org,719,36-45,Married with Kids,27853,Bachelor's,Retired,76,2025-07-08,100,1
+1-275-331-7841x64756,taylor54@example.org,604,26-35,Married with Kids,43060,PhD,Full-time,69,2025-03-22,87,1
+1-261-942-8234x282,jkaiser@example.org,710,56+,Divorced,64398,Bachelor's,Self-employed,22,2025-05-15,69,1
942.921.3286,frankbradley@example.net,680,36-45,Single,68303,Professional,Full-time,61,2025-05-08,81,1
(509)693-9475x8598,john80@example.org,716,46-55,Widowed,41840,High School,Full-time,0,2025-05-01,68,1
+1-609-645-1779x01715,brian36@example.org,678,26-35,Married with Kids,29876,Bachelor's,Full-time,70,2025-06-29,100,1
(807)668-2637x40685,idiaz@example.org,708,46-55,Married,148513,Master's,Self-employed,74,2025-03-14,100,1
924.589.5665x4643,mosssara@example.org,596,26-35,Divorced,20369,Bachelor's,Full-time,43,2025-03-05,38,0
(760)452-2612x47130,fosterjenna@example.net,634,26-35,Single,40320,Bachelor's,Full-time,36,2025-07-09,61,1
791-670-6693,bushandrew@example.org,629,26-35,Married,39983,High School,Full-time,100,2025-06-04,99,1
314-809-1558,hwinters@example.org,687,56+,Married,37695,Bachelor's,Full-time,34,2025-02-24,58,0
001-997-904-9835x632,lewischad@example.net,786,46-55,Single,35860,Bachelor's,Full-time,33,2025-02-22,74,1
587.952.5768x75264,ymorse@example.net,681,18-25,Married,26698,Professional,Part-time,67,2025-04-12,42,0
725-442-1719x16849,xrobinson@example.com,722,46-55,Single,98550,Professional,Full-time,7,2025-05-18,81,1
759-305-3754x9904,pagedaniel@example.org,636,26-35,Widowed,31301,Bachelor's,Full-time,25,2025-01-28,41,0
+1-698-972-6905,gonzalezjames@example.org,657,36-45,Divorced,16528,High School,Part-time,38,2025-06-19,70,1
001-566-695-9818x370,trodgers@example.org,661,36-45,Married,33797,Professional,Part-time,77,2025-06-02,92,1
(654)997-0751,dsimpson@example.org,571,26-35,Married,21398,Bachelor's,Part-time,78,2025-07-03,73,1
+1-367-741-6073,houstonpeggy@example.com,612,18-25,Widowed,19179,PhD,Full-time,35,2025-04-19,42,0
(655)266-1282,angelasantiago@example.net,611,26-35,Single,49930,Bachelor's,Full-time,46,2025-07-03,80,1
(974)206-4708,tracey91@example.net,611,36-45,Single,15000,Bachelor's,Part-time,55,2025-03-28,48,0
6735027587,judyhoward@example.org,672,46-55,Married,57894,High School,Self-employed,46,2025-07-06,93,1
001-494-436-5960x75454,jasonkim@example.com,696,46-55,Married with Kids,103429,Master's,Full-time,89,2025-07-11,100,1
001-394-734-7296x932,audreylane@example.net,565,18-25,Single,23401,Bachelor's,Full-time,21,2025-06-19,27,0
470-888-5481,cassandra09@example.com,755,36-45,Married,63081,Bachelor's,Self-employed,68,2025-01-29,100,1
(254)572-4633,matthew40@example.net,760,56+,Married,66269,Bachelor's,Full-time,52,2025-05-12,78,1
230-789-4366x647,gina19@example.net,757,36-45,Married,83923,Professional,Self-employed,80,2025-03-26,100,1
506.295.7071,suarezdonna@example.net,678,26-35,Married,56798,High School,Full-time,76,2025-04-10,100,1
327-924-4069x53517,clineangela@example.org,651,36-45,Single,50924,Master's,Full-time,44,2025-02-08,81,1
217.223.6132,gallaghercarol@example.net,718,36-45,Married,59852,Bachelor's,Full-time,56,2025-06-21,100,1
208-774-9503x3467,mbarron@example.com,677,36-45,Married with Kids,15000,Bachelor's,Unemployed,62,2025-05-14,79,1
440-222-6956,yvette46@example.org,619,26-35,Married with Kids,32712,Bachelor's,Self-employed,51,2025-06-01,89,1
+1-602-588-2398,iharrison@example.org,629,26-35,Single,15000,High School,Part-time,61,2025-01-27,55,0
918.451.7530,greenjasmine@example.com,632,36-45,Widowed,29014,Bachelor's,Retired,53,2025-06-05,63,1
+1-418-720-4129,oconnellmelinda@example.net,535,18-25,Married,16798,High School,Full-time,41,2025-04-24,44,0
521.344.5686,robert87@example.org,633,26-35,Single,32099,Bachelor's,Full-time,29,2025-03-04,57,0
515-416-6955,nicholsmelanie@example.org,684,26-35,Single,15000,High School,Part-time,36,2025-05-16,76,1
264-988-0788x9907,kyoung@example.net,687,26-35,Married,61935,Bachelor's,Full-time,65,2025-07-01,100,1
+1-522-628-2102x152,nancy71@example.net,638,36-45,Single,48386,Master's,Self-employed,47,2025-02-25,85,1
(757)217-7918,mtorres@example.com,768,36-45,Married with Kids,139176,Master's,Full-time,63,2025-05-19,100,1
920.236.0714,shaunbass@example.net,640,56+,Single,15000,High School,Student,59,2025-05-23,24,0
001-445-576-7631x41319,gregoryperez@example.com,772,46-55,Single,106218,PhD,Full-time,5,2025-05-28,84,1
001-880-700-5067x15663,qholmes@example.org,648,18-25,Married,22814,Bachelor's,Full-time,57,2025-06-05,55,0
2996973482,alex57@example.org,723,46-55,Single,31483,Master's,Retired,49,2025-02-05,65,1
(263)305-6259x72237,lance88@example.com,564,26-35,Single,20582,Bachelor's,Part-time,45,2025-07-08,49,0
+1-331-560-4960,alanblackwell@example.com,643,56+,Married,22124,High School,Full-time,52,2025-02-13,67,1
(429)628-7504x5328,lindsey80@example.org,755,56+,Married with Kids,77340,Bachelor's,Full-time,64,2025-05-22,100,1
769.398.5893x972,herrerarobert@example.com,714,36-45,Married with Kids,57734,Master's,Full-time,40,2025-01-29,100,1
(788)555-1895,michael45@example.org,652,18-25,Married,29948,Bachelor's,Full-time,46,2025-02-20,42,0
652.414.6111x05597,robinbrady@example.com,749,46-55,Single,72843,Bachelor's,Full-time,25,2025-02-01,62,1
(542)862-8989,danny56@example.com,770,36-45,Single,77573,PhD,Full-time,50,2025-05-23,89,1
(860)635-6619x739,mendozamelanie@example.com,612,26-35,Divorced,23610,Master's,Part-time,21,2025-05-12,63,1
001-557-407-7949x1200,pamela66@example.org,592,26-35,Divorced,18756,High School,Part-time,40,2025-04-11,39,0
(416)898-7091,hlyons@example.com,670,36-45,Widowed,101761,Professional,Full-time,82,2025-02-22,100,1
(433)979-7130,wadechristopher@example.org,773,36-45,Married,74920,Master's,Full-time,60,2025-02-09,100,1
001-801-487-3637,ktate@example.org,641,26-35,Widowed,15000,Bachelor's,Student,40,2025-04-21,34,0
(900)821-9124x1644,jonathangreene@example.org,718,46-55,Married with Kids,76774,Master's,Full-time,52,2025-02-18,99,1
774-484-8741,maxwellcole@example.com,697,46-55,Married with Kids,75813,Professional,Full-time,47,2025-04-07,94,1
888-606-1747x3836,zrodriguez@example.org,612,18-25,Married,20122,PhD,Part-time,67,2025-06-26,42,0
899-785-6472x553,lee05@example.net,813,46-55,Single,122693,PhD,Full-time,38,2025-05-29,76,1
338.592.5169,butlertiffany@example.org,653,36-45,Widowed,78589,Master's,Self-employed,57,2025-02-01,73,1
+1-229-928-5034x1359,callahansteven@example.com,663,18-25,Married with Kids,30057,Bachelor's,Full-time,55,2025-01-29,91,1
(958)362-1700,joansalazar@example.org,707,56+,Single,52497,Bachelor's,Full-time,13,2025-01-30,57,0
718-427-9840,wyoung@example.com,676,36-45,Married,63884,Master's,Full-time,63,2025-05-02,97,1
665.798.9892x08582,rebecca03@example.net,663,26-35,Married with Kids,78446,Master's,Full-time,94,2025-01-31,100,1
707.933.5998,charles25@example.org,656,36-45,Married,48374,High School,Full-time,73,2025-04-12,100,1
+1-298-948-2824x1042,collierbenjamin@example.net,657,46-55,Single,15000,Bachelor's,Student,29,2025-05-06,33,0
(533)491-8075x76449,michelepham@example.org,684,46-55,Single,78363,Master's,Full-time,46,2025-01-19,87,1
242.832.8931x0498,joseph63@example.com,589,26-35,Single,24811,Master's,Part-time,46,2025-02-07,39,0
+1-536-461-5928x22496,lisa97@example.org,719,46-55,Single,76737,Master's,Self-employed,39,2025-03-30,89,1
+1-717-355-4133x081,wonganthony@example.org,681,36-45,Widowed,66731,PhD,Full-time,66,2025-01-21,81,1
001-658-399-1144x3424,jill13@example.com,730,46-55,Single,77632,Master's,Full-time,21,2025-06-18,88,1
(363)390-7387x5656,harringtonvanessa@example.com,669,18-25,Single,25247,Master's,Full-time,28,2025-05-10,67,1
001-990-740-1272x419,hernandezangela@example.net,652,26-35,Single,15000,Bachelor's,Part-time,34,2025-04-06,65,1
781.874.5498,stephaniekelly@example.com,641,26-35,Married,22164,Bachelor's,Part-time,58,2025-07-07,56,0
+1-778-832-1867x33726,shannonboyer@example.org,607,18-25,Married with Kids,23284,Master's,Part-time,38,2025-03-07,53,0
465-959-1517,jefferysolis@example.com,751,56+,Married with Kids,73513,Master's,Full-time,45,2025-01-23,84,1
442-517-2199,qtaylor@example.org,717,46-55,Married,26118,High School,Full-time,39,2025-04-15,67,1
444.529.0712,moorematthew@example.net,694,26-35,Single,15000,High School,Unemployed,55,2025-01-16,48,0
6726324844,browningcraig@example.net,590,36-45,Single,58864,Bachelor's,Full-time,70,2025-06-12,63,1
488-770-5548x0057,lisabanks@example.com,715,56+,Married,15000,Bachelor's,Part-time,26,2025-03-10,56,0
309.798.2332,rebeccajackson@example.org,608,36-45,Married,15000,Bachelor's,Full-time,66,2025-06-02,83,1
432.801.8616,michael60@example.net,756,56+,Married with Kids,61420,Bachelor's,Full-time,30,2025-04-16,96,1
287.421.1384x704,tonypreston@example.org,692,36-45,Divorced,67014,High School,Full-time,55,2025-01-15,99,1
5383295536,stephanie73@example.com,673,56+,Single,45166,Bachelor's,Full-time,34,2025-07-03,46,0
588.557.7260,lisavillarreal@example.org,681,36-45,Single,80689,Professional,Full-time,31,2025-03-31,98,1
(999)799-0670x231,suarezcorey@example.com,653,46-55,Married with Kids,78133,Bachelor's,Full-time,58,2025-02-26,100,1
(416)322-9652,bentonallison@example.com,690,46-55,Single,33226,Bachelor's,Part-time,26,2025-03-11,43,0
871-833-4181x291,ferrellhenry@example.org,651,56+,Married,15000,Bachelor's,Part-time,58,2025-07-12,83,1
001-913-381-8487x8677,johnsonbonnie@example.org,669,46-55,Married with Kids,42199,Bachelor's,Full-time,58,2025-05-16,100,1
532.307.6257,bmunoz@example.org,590,26-35,Divorced,47742,Bachelor's,Full-time,63,2025-04-23,59,0
001-316-291-5820,youngsonya@example.com,688,36-45,Divorced,15063,High School,Part-time,48,2025-04-08,63,1
580-382-7337x79979,paige93@example.com,655,56+,Married with Kids,25495,Master's,Part-time,41,2025-03-13,67,1
685-686-8587x3257,jeffreymcbride@example.net,735,46-55,Married with Kids,153658,Professional,Full-time,47,2025-06-19,100,1
341.342.9399,gcross@example.net,678,36-45,Married,110145,Professional,Full-time,67,2025-03-30,100,1
913-475-9648,bennettcatherine@example.com,633,56+,Single,45523,Bachelor's,Full-time,1,2025-05-12,20,0
784.628.1826,brownvalerie@example.org,749,56+,Married,41839,High School,Full-time,46,2025-06-24,71,1
680.812.1924,jamesjackson@example.com,589,26-35,Single,19880,Bachelor's,Part-time,56,2025-02-24,53,0
001-595-599-2740,kimberlyhall@example.net,703,46-55,Married with Kids,47940,High School,Full-time,64,2025-02-20,100,1
+1-506-784-0051x563,rothtiffany@example.org,658,36-45,Married with Kids,59797,Bachelor's,Full-time,51,2025-05-03,98,1
792-301-3303x4228,madisonwalker@example.com,681,56+,Married with Kids,92413,PhD,Full-time,58,2025-06-29,100,1
(250)594-8464x5569,raymondbell@example.com,692,56+,Widowed,54297,Bachelor's,Full-time,42,2025-02-27,47,0
+1-457-943-4797x5643,jamesli@example.net,744,46-55,Single,79446,Bachelor's,Full-time,32,2025-05-01,84,1
(604)532-0611x2170,wberry@example.com,564,18-25,Divorced,30327,Bachelor's,Full-time,33,2025-01-18,23,0
+1-643-237-2417,epierce@example.com,706,46-55,Married,65415,PhD,Full-time,20,2025-05-03,72,1
571-964-2074,erin77@example.com,591,26-35,Divorced,15000,Master's,Unemployed,60,2025-04-15,41,0
925-310-8165x8878,duncannatalie@example.com,577,26-35,Married,15000,PhD,Full-time,60,2025-03-01,57,0
775.731.6279x7066,rogersjustin@example.org,775,46-55,Married,103997,Bachelor's,Self-employed,64,2025-06-05,100,1
(589)826-2475,jsolis@example.net,674,46-55,Married with Kids,15000,High School,Unemployed,36,2025-07-05,77,1
(689)746-1455,huffmanlindsey@example.com,655,26-35,Single,41202,High School,Full-time,81,2025-06-01,75,1
895-683-9821x57095,tmccullough@example.net,728,46-55,Married,58036,Master's,Full-time,17,2025-03-18,80,1
(672)530-8554x4364,wtorres@example.com,665,36-45,Married,69637,Bachelor's,Full-time,75,2025-04-28,100,1
001-888-976-8838x491,newtonsamuel@example.com,678,36-45,Single,15000,High School,Unemployed,63,2025-05-28,64,1
(789)348-0633,zthomas@example.com,634,26-35,Married with Kids,64635,Bachelor's,Full-time,30,2025-04-08,83,1
488.209.3676x6177,jacksonhannah@example.org,591,26-35,Married,20408,Bachelor's,Part-time,87,2025-05-05,63,1
+1-602-600-1450x162,aaron09@example.org,690,46-55,Single,77850,Master's,Full-time,38,2025-02-24,70,1
(224)772-4243,asnow@example.net,621,56+,Single,62239,Bachelor's,Full-time,0,2025-05-12,53,0
8589082300,erinmitchell@example.org,702,56+,Single,25816,High School,Retired,8,2025-04-28,50,0
955-264-2260x81759,morrowlinda@example.net,712,36-45,Single,80928,Master's,Full-time,58,2025-01-14,85,1
7476949051,patriciahunter@example.net,607,18-25,Married with Kids,17288,Bachelor's,Full-time,47,2025-01-26,70,1
(602)372-5811,vrobertson@example.org,682,46-55,Single,31763,High School,Part-time,9,2025-06-01,40,0
(957)631-3285x1552,abigailjenkins@example.com,759,36-45,Married,109076,Master's,Self-employed,71,2025-02-04,100,1
+1-902-233-6828x780,twalsh@example.com,686,36-45,Single,48845,Bachelor's,Full-time,48,2025-02-11,74,1
8525917750,tylerespinoza@example.net,639,26-35,Married with Kids,76798,Master's,Full-time,73,2025-06-05,100,1
+1-684-531-1240x9860,mperry@example.net,664,56+,Married,23996,High School,Retired,52,2025-03-13,45,0
6414185356,charlesconley@example.com,678,36-45,Widowed,43658,High School,Full-time,37,2025-02-14,55,0
001-819-263-4610x87598,amedina@example.org,771,36-45,Single,85172,Master's,Full-time,59,2025-07-12,86,1
424-605-7926,thomascook@example.com,739,46-55,Married,38962,High School,Full-time,47,2025-01-23,85,1
001-214-903-5195x730,robert52@example.com,658,36-45,Married with Kids,15000,Bachelor's,Unemployed,90,2025-04-17,100,1
683-711-4506x4533,jchapman@example.com,719,46-55,Divorced,89800,Bachelor's,Full-time,39,2025-01-16,71,1
685.298.6468,rebecca22@example.net,582,26-35,Married,15876,High School,Full-time,51,2025-06-28,57,0
787-743-2362x9825,daviskathleen@example.net,731,46-55,Single,77787,Master's,Full-time,47,2025-06-23,75,1
6689400067,berrychad@example.org,652,56+,Single,15000,High School,Student,35,2025-01-20,34,0
+1-211-516-2820x55641,vsmith@example.net,695,36-45,Single,79594,Master's,Full-time,66,2025-04-10,90,1
001-904-792-2105x61219,michaelking@example.net,689,36-45,Single,15000,Master's,Part-time,17,2025-01-24,64,1
+1-483-759-9447,gainesheidi@example.org,659,26-35,Married with Kids,57403,Master's,Full-time,87,2025-06-17,100,1
9862550990,jensenjason@example.com,686,36-45,Single,60667,Bachelor's,Full-time,41,2025-05-07,84,1
+1-747-316-3441,stephaniemcbride@example.net,623,26-35,Single,15000,High School,Full-time,20,2025-02-10,63,1
303-960-1278x2709,rwilliams@example.com,696,46-55,Widowed,62162,Bachelor's,Full-time,48,2025-01-15,60,1
001-363-256-8879x552,fuentesderek@example.net,658,36-45,Single,94767,Master's,Full-time,69,2025-07-12,90,1
(296)570-8323x87825,antonio01@example.com,682,56+,Married with Kids,36387,High School,Full-time,28,2025-01-22,64,1
564.400.3816x060,ldavis@example.com,624,26-35,Divorced,75095,Bachelor's,Self-employed,82,2025-03-01,100,1
874.495.6889,qhensley@example.com,571,26-35,Married with Kids,63367,Master's,Self-employed,48,2025-01-21,83,1
(846)825-9997,melissarogers@example.net,631,26-35,Married with Kids,58476,PhD,Full-time,87,2025-03-15,100,1
(572)382-3608x3523,ptaylor@example.net,553,18-25,Married with Kids,15000,High School,Retired,50,2025-07-02,33,0
001-570-328-7489x282,christianleonard@example.net,706,26-35,Married with Kids,58519,Master's,Full-time,76,2025-06-26,100,1
